predicted,true,DSH
6.148666,4.66,26
5.6434965,5.64,25
6.275202,5.12,27
6.0284715,3.93,27
6.2269197,5.98,27
5.477721,5.48,27
5.7896013,5.74,27
5.1829348,4.57,27
6.231963,5.18,27
6.0868015,4.27,25
5.765186,5.28,27
5.651952,6.32,27
5.790028,6.44,25
5.9341016,6.44,27
5.520794,4.62,24
5.9988565,5.37,28
5.6900754,6.61,28
6.0981307,6.34,27
5.6706753,5.7,27
5.838198,5.68,28
5.6825523,5.25,26
6.204187,5.9,26
6.4166894,5.32,27
5.626569,7.0,26
6.1283607,7.32,28
6.093867,6.2,27
6.108482,5.82,25
5.69196,5.95,27
5.559128,7.2,26
6.1975636,5.32,26
5.9946337,6.39,26
6.2471175,6.59,27
5.9289775,5.43,24
5.6527348,5.68,26
5.577041,4.55,26
6.3188386,5.22,27
5.9553843,5.34,25
5.847333,6.65,27
5.8596406,6.7,27
6.03274,6.92,26
5.611762,7.05,26
6.1533833,6.24,27
6.8406835,6.82,26
6.0900393,6.59,27
5.9720597,6.48,28
5.1733575,6.12,29
5.7309937,5.42,27
5.7541413,7.64,27
6.5388927,6.91,26
6.266273,6.56,27
6.1659994,6.88,26
6.1224895,6.88,26
5.8185887,7.34,26
6.6914363,6.67,27
5.7825418,6.75,26
6.082207,5.62,26
6.319975,6.13,25
6.1090455,6.74,26
5.266645,6.92,27
5.8100977,6.62,28
5.963682,6.83,27
5.594189,5.33,26
5.722956,7.08,27
5.892138,6.9,27
5.6742387,6.92,27
5.20313,6.08,28
6.206808,5.89,25
6.6120133,6.84,27
6.4643273,6.12,27
5.7668433,6.25,27
5.913129,6.84,27
5.7683835,5.79,27
5.679337,5.98,28
5.3903127,4.78,26
5.5940433,5.73,27
5.4921775,5.56,26
5.6071734,6.08,26
5.6405625,5.04,25
5.3743815,6.51,26
5.9011497,6.35,25
6.5641775,6.62,27
5.5331388,5.61,25
5.44712,6.17,26
5.4730344,6.12,27
5.696972,6.09,26
5.9630675,6.71,27
5.640057,4.98,24
5.829164,5.98,26
6.4955873,6.94,27
5.7744803,6.88,27
5.844815,5.95,27
5.361998,6.53,26
5.819592,6.04,27
6.1765246,5.83,27
6.518858,6.19,27
6.0986743,5.78,-3
5.8335013,4.66,-2
6.183978,5.64,-3
5.530516,5.12,-1
5.022927,3.93,-1
6.074702,5.98,-1
5.256986,5.48,-1
6.0505004,5.74,-1
5.16091,4.57,-1
6.1176424,5.18,-1
5.6627655,4.27,-3
6.073497,5.28,-1
6.1757874,6.32,-1
6.116993,6.44,-3
6.0956235,6.44,-1
6.042113,4.62,-4
5.9424396,5.37,0
5.5608153,6.61,0
5.876367,6.34,-1
