predicted,true,DSH
6.0870085,6.24,-39
6.065154,6.04,-24
6.0722723,6.51,-36
5.956773,5.75,-33
6.8166933,6.92,-24
6.0601206,6.23,-38
6.710515,6.61,-39
6.136956,5.98,39
5.2238207,5.0,37
6.34984,7.64,-39
6.1514263,6.19,-24
6.257905,6.04,-39
5.8795376,6.92,-24
5.8413477,6.44,-32
4.0599985,3.93,-39
6.4592047,6.44,25
6.110943,6.25,27
5.8189316,6.13,-30
6.612768,7.5,37
6.447318,5.64,36
6.7444916,6.92,-35
5.31804,5.49,29
6.0945215,5.98,-39
6.3063526,5.58,-1
6.041745,6.32,38
6.2960577,6.2,27
5.7461424,5.64,-32
5.680645,5.7,-39
6.084608,7.13,2
6.4610558,6.32,-24
7.051524,6.9,-39
7.115226,6.88,38
7.2515116,7.02,-40
4.5789146,4.1,-40
6.2645607,5.83,-39
5.56367,5.7,38
5.7740164,5.21,27
4.654748,4.84,1
5.9783106,5.94,0
5.9786863,5.88,-32
6.140481,5.7,-35
3.9951017,3.93,-35
6.27267,6.17,-36
6.178813,6.23,-34
6.3742695,6.13,39
6.3163443,6.83,-24
6.4507523,6.94,27
6.0541067,6.28,27
6.0098934,5.98,-30
5.9226437,5.95,38
6.2273827,5.95,-39
6.8619566,6.55,-31
5.970022,6.24,-1
5.4263077,5.12,-39
6.4170847,6.32,-39
6.381117,5.34,-33
4.9143677,5.04,25
5.117606,4.98,24
6.2656755,6.59,-24
6.1885376,6.44,-26
6.116433,5.15,38
6.184352,6.23,-34
5.980446,5.68,-32
6.9813433,7.02,-32
6.514168,6.39,-36
6.0365124,5.74,-39
5.1736174,4.91,-1
5.769644,5.22,-39
5.978076,5.78,-41
5.9524612,5.53,-36
6.212884,6.44,38
6.4023323,6.09,-2
6.7303944,7.05,-40
5.9283333,5.42,38
6.377306,6.91,-25
7.346753,6.71,38
5.8745346,5.89,-40
5.1536856,5.82,30
4.414775,4.1,26
6.0093145,5.73,27
7.434884,7.5,-25
6.3373775,6.51,26
5.685542,5.32,-40
5.885812,6.12,1
5.403884,5.04,-41
5.9056025,5.82,-36
5.728444,5.75,-3
6.0642395,6.04,-31
6.610855,6.71,-24
5.8739653,6.44,-1
6.753895,5.94,-34
5.895627,5.61,-41
5.7137756,4.62,-42
5.610381,4.91,-1
6.252987,6.17,-32
6.65055,6.44,-3
7.526779,7.68,1
6.487135,7.5,-2
5.2629166,4.94,-35
6.8493204,6.68,-22
6.4959307,6.44,-1
6.708928,6.62,0
5.1854935,6.68,29
5.7578087,5.33,-25
6.606143,6.88,-39
6.264509,6.2,-35
6.455428,6.39,-2
5.641835,5.37,-38
4.709036,4.91,-39
6.7339954,6.62,-35
7.079502,6.55,-35
6.4815397,6.48,0
6.3935175,6.48,-34
5.81981,5.22,-39
6.723117,6.72,-37
5.9174376,5.83,-35
5.617734,5.64,-40
6.050172,6.36,-32
6.0988092,6.65,-24
5.2589645,5.33,-40
6.5235634,7.34,-36
6.719779,6.44,-39
6.118744,5.96,-21
6.424221,6.44,-24
5.966855,6.04,-31
5.612337,5.55,38
5.8241434,5.56,-40
6.177824,6.48,-38
6.6045046,6.59,-39
6.367114,6.65,-39
6.2250586,6.82,-2
6.6073666,6.94,-35
5.3218527,5.69,26
6.01665,5.98,-23
5.273197,5.31,-39
5.7452993,5.74,-39
6.7748203,6.59,-39
5.550579,5.01,-37
4.594692,4.15,-24
6.2003202,6.12,38
6.154004,6.19,38
6.220188,6.92,-39
4.9189167,5.01,36
7.6211185,7.09,26
6.5488405,6.51,26
5.86139,5.9,-40
5.6770763,6.12,-37
5.8549013,5.68,-34
5.3538017,5.32,-25
5.8173485,5.83,-31
6.110444,6.44,-21
6.8879223,6.88,-2
6.3469305,6.55,-1
4.87521,4.91,-39
4.8573627,4.94,27
5.9620256,4.98,35
5.9454527,5.89,-33
5.752467,5.61,25
6.5786505,6.32,-35
5.3517065,4.88,-39
6.0910454,6.91,-2
6.325143,5.86,-24
5.626335,5.31,-39
6.2917967,6.51,-2
6.410038,6.44,-35
5.898369,5.85,1
5.356097,4.27,-40
6.091094,6.83,26
5.810755,5.62,37
